worker_id,job_id,worker_experience_years,worker_completed_jobs,worker_success_rate,worker_rating,required_skill_count,matched_skill_count,skill_match_ratio,location_match,distance_km,job_complexity,job_budget,successful
22,1,0,5,0.5497,3.99,3,0,0.0,0,44.68,3,8361.48,0
172,1,4,28,0.5778,3.8,3,0,0.0,0,45.27,3,8361.48,0
89,1,6,46,0.638,4.19,3,0,0.0,0,13.16,3,8361.48,0
139,1,14,78,0.859,4.26,3,0,0.0,0,38.57,3,8361.48,1
106,1,14,82,0.8372,4.36,3,1,0.3333,1,9.05,3,8361.48,1
194,1,14,19,0.8808,4.78,3,2,0.6667,0,37.1,3,8361.48,1
151,1,15,82,0.8701,4.24,3,0,0.0,0,14.81,3,8361.48,0
59,1,15,95,0.7931,4.34,3,1,0.3333,0,16.92,3,8361.48,0
142,1,13,25,0.884,4.46,3,1,0.3333,0,48.89,3,8361.48,1
16,1,8,40,0.7872,4.37,3,0,0.0,0,15.05,3,8361.48,1
100,1,14,66,0.7598,4.33,3,0,0.0,0,49.53,3,8361.48,1
134,1,4,4,0.6145,4.23,3,0,0.0,0,49.89,3,8361.48,0
108,1,15,105,0.9144,4.52,3,1,0.3333,0,43.36,3,8361.48,1
138,1,4,8,0.5727,4.06,3,0,0.0,0,46.43,3,8361.48,0
176,1,3,25,0.6773,4.38,3,0,0.0,0,12.68,3,8361.48,1
102,2,7,52,0.6535,4.16,1,0,0.0,0,32.66,1,7876.96,1
142,2,13,25,0.884,4.46,1,0,0.0,0,48.59,1,7876.96,1
84,2,1,9,0.5276,4.17,1,0,0.0,0,14.23,1,7876.96,0
71,2,7,13,0.7505,4.18,1,0,0.0,0,41.43,1,7876.96,0
134,2,4,4,0.6145,4.23,1,1,1.0,0,45.21,1,7876.96,1
118,2,8,8,0.7519,4.41,1,0,0.0,0,20.57,1,7876.96,1
4,2,5,32,0.6362,3.89,1,0,0.0,1,5.93,1,7876.96,1
180,2,9,69,0.8003,4.17,1,0,0.0,0,16.89,1,7876.96,1
160,2,15,74,0.8858,4.7,1,1,1.0,0,34.73,1,7876.96,1
151,2,15,82,0.8701,4.24,1,0,0.0,0,26.07,1,7876.96,1
108,2,15,105,0.9144,4.52,1,1,1.0,0,45.16,1,7876.96,1
29,2,12,19,0.7796,4.05,1,0,0.0,0,11.97,1,7876.96,1
107,2,7,43,0.6939,4.41,1,0,0.0,0,20.74,1,7876.96,1
39,2,15,47,0.913,4.8,1,1,1.0,0,23.51,1,7876.96,1
38,2,4,21,0.6007,3.86,1,0,0.0,1,3.45,1,7876.96,0
179,3,11,39,0.7301,4.52,1,1,1.0,0,13.57,1,11960.41,1
176,3,3,25,0.6773,4.38,1,1,1.0,0,46.54,1,11960.41,1
26,3,10,23,0.7448,4.1,1,1,1.0,0,29.38,1,11960.41,1
59,3,15,95,0.7931,4.34,1,0,0.0,0,24.96,1,11960.41,1
35,3,3,5,0.6218,4.07,1,0,0.0,0,41.66,1,11960.41,1
77,3,10,45,0.8585,4.62,1,0,0.0,0,38.38,1,11960.41,1
191,3,12,55,0.9253,4.61,1,0,0.0,0,41.22,1,11960.41,1
114,3,5,15,0.6065,4.11,1,1,1.0,0,32.75,1,11960.41,1
199,3,15,81,0.8197,4.46,1,0,0.0,0,45.01,1,11960.41,1
83,3,7,30,0.6573,3.84,1,0,0.0,0,12.31,1,11960.41,1
69,3,6,35,0.7259,4.42,1,1,1.0,0,12.02,1,11960.41,1
187,3,10,32,0.8495,4.59,1,1,1.0,0,17.96,1,11960.41,1
107,3,7,43,0.6939,4.41,1,0,0.0,0,28.57,1,11960.41,1
155,3,2,12,0.6036,4.08,1,0,0.0,0,46.92,1,11960.41,0
166,3,9,58,0.7486,4.2,1,0,0.0,0,19.68,1,11960.41,1
115,4,7,36,0.7398,4.26,2,1,0.5,0,11.99,5,12153.1,0
46,4,9,38,0.7151,4.33,2,0,0.0,0,41.19,5,12153.1,1
122,4,5,21,0.7395,4.55,2,0,0.0,0,18.85,5,12153.1,1
151,4,15,82,0.8701,4.24,2,0,0.0,0,18.27,5,12153.1,0
142,4,13,25,0.884,4.46,2,0,0.0,0,30.53,5,12153.1,0
90,4,2,7,0.5005,3.82,2,0,0.0,0,48.69,5,12153.1,0
89,4,6,46,0.638,4.19,2,1,0.5,0,28.96,5,12153.1,1
42,4,1,5,0.5406,4.18,2,0,0.0,0,16.93,5,12153.1,0
67,4,1,6,0.5154,3.62,2,0,0.0,0,18.95,5,12153.1,0
192,4,13,23,0.8275,4.74,2,2,1.0,0,47.72,5,12153.1,1
